row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
56,,,,,,,,,,,,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,C,C,C,C,B,A,A,B,B,B,B,B,B,A,A,A,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,E,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,C,B,D,D,D,D,D,B,B,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,C,C,C,C,A,A,B,B,B,B,B,B,B,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,C,B,D,D,D,D,D,C,B,A,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,A,A,A,C,C,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,C,C,C,C,C,B,B,B,B,B,A,A,C,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,B,D,D,D,D,D,A,B,B,A,,,,,,,,,,,,,,,,,,,,
59,,,,,,A,A,C,B,C,C,C,C,C,B,C,C,A,A,A,B,B,B,B,B,A,A,B,C,C,C,B,C,A,C,B,B,B,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,K,D,D,A,D,D,D,D,D,A,A,B,A,,,,,,,,,,,,,,,,,,,,
60,,,,,,A,C,C,C,C,C,C,C,C,C,C,B,C,C,C,A,A,A,A,A,B,C,C,C,C,C,B,A,C,C,B,B,A,B,B,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,A,D,D,D,A,D,D,D,D,A,A,A,A,,,,,,,,,,,,,,,,,,,,
61,,,,A,A,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,B,C,A,A,C,B,A,B,B,B,A,B,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,A,A,L,K,,,,,,L,L,L,J,,,,,,,,,,,
62,,,,A,C,B,A,C,C,C,C,C,C,A,A,A,C,B,B,C,C,C,C,C,C,C,C,C,C,C,A,A,B,B,A,C,B,B,B,B,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,A,D,D,A,A,D,K,K,K,K,L,A,A,A,A,,,,,,,,,,,
63,,,A,B,B,A,C,C,B,C,A,A,A,,,,A,A,A,A,A,A,A,C,C,C,C,C,A,B,B,A,B,B,B,B,B,A,A,A,A,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,A,D,D,D,D,A,D,D,D,D,D,A,A,D,D,D,D,D,A,D,A,D,C,C,C,C,C,C,D,D,D,D,A,A,D,,,,,,,,
64,,,A,C,A,C,C,C,A,A,A,,,,,,,,,,A,A,A,A,A,A,A,A,B,B,A,C,C,C,C,B,A,A,A,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,A,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,A,J,D,D,D,D,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,,,,,,,,
65,,A,B,A,B,C,C,A,A,B,A,,,,,,,,A,A,A,C,C,C,C,C,C,B,A,A,A,C,C,B,A,A,K,,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,A,J,A,D,A,D,D,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,E,A,,,,,,,
66,,A,C,A,C,C,A,B,B,A,,,,,,,,A,A,C,C,C,C,C,C,C,A,A,A,A,B,B,C,A,A,,,,,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,A,J,J,D,A,D,D,A,A,D,D,D,D,D,D,D,D,C,B,C,D,D,D,D,A,,,,,,,
67,,A,A,C,C,C,B,B,B,A,,,,,,,A,B,A,A,A,A,A,A,A,A,,,A,B,C,B,B,A,,,,,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,A,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,J,J,J,K,A,D,D,A,D,D,D,D,D,D,B,B,C,C,C,B,C,D,D,A,A,,,,,,,
68,,L,B,C,C,C,C,B,B,A,,,,,,,A,A,A,,,,,,,,,A,B,B,B,A,A,,,,,A,B,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,J,A,D,D,D,K,A,A,D,D,D,D,A,E,A,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,J,J,J,A,J,D,A,A,D,D,D,D,C,C,C,A,A,C,C,C,C,B,B,A,,,,,,,,
69,,,B,C,C,C,C,C,C,B,A,,,,,,A,A,,,,,,,,A,A,B,A,A,A,B,,,,,A,D,D,K,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,J,J,J,A,K,D,A,J,A,A,D,D,D,A,J,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,J,J,J,J,J,J,D,A,A,D,D,C,B,C,A,A,,A,C,C,C,C,C,A,,,,,,,,,
70,,,B,B,B,C,B,C,C,C,C,A,,,,,,,,,,,,,A,A,A,A,A,,,,,,,,A,A,A,A,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,J,J,J,J,J,A,A,L,J,J,A,A,J,J,J,J,J,A,D,D,D,D,D,D,D,D,D,D,D,D,A,A,J,J,J,J,J,J,D,A,C,C,B,B,A,A,,,,A,C,C,C,C,A,A,,,,,,,,,
71,,,B,A,C,C,A,B,C,C,C,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,A,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,A,A,D,D,D,D,D,D,D,D,D,D,D,A,A,J,J,J,J,J,J,A,A,B,C,B,A,,,,,,A,C,C,C,C,A,,,,,,,,,,
72,,,,A,A,B,C,A,C,C,C,C,C,C,B,B,A,A,,,,,,,,,,,,,,,,,,,A,D,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,A,A,D,D,D,D,D,D,D,D,D,A,D,D,A,J,J,J,J,J,J,A,A,A,A,,,,,,,,,C,C,C,C,C,A,,,,,,,,,,
